file,question,answer
./data/hansung_data/school_information.txt,한성대학교에서 융합전공의 의미는 무엇인가요?,"한성대학교에서 융합전공은 제1전공과 제2전공을 모두 이수하는 것을 의미합니다. 각 트랙에서 각각 39학점씩 전공 총 78학점을 이수하게 되며, 부전공을 추가로 선택할 경우 총 99학점을 이수해야 합니다."
./data/hansung_data/school_information.txt,한성대학교의 교양교육과정 이수체계는 어떻게 구성되어 있나요?,"한성대학교의 교양교육과정 이수체계는 학번에 따라 다릅니다. 예를 들어, 2024학년도 24학번부터는 교양필수 13학점, 선택필수교양 15학점, 일반교양 3학점으로 최소 31학점을 이수해야 합니다."
./data/hansung_data/school_information.txt,한성대학교의 전과부 조건은 무엇인가요?,"한성대학교 전과부의 일반 전과부는 3, 4, 5, 6, 7학기 재학 중 징계처분을 받지 않은 학생이 지원할 수 있습니다. 교차전과부는 주간에서 야간 또는 야간에서 주간으로 변경 가능하며 지원 당시 취득학점이 학기당 평균 15학점 이상, 총 평균평점 3.0 이상이어야 합니다."
./data/hansung_data/school_information.txt,한성대학교의 학사경고 기준은 어떻게 되나요?,"한성대학교의 학사경고는 학기 성적 평점평균이 1.75 미만인 경우나 휴학 없이 수강신청을 하지 않은 경우 부여됩니다. 연속 3회 또는 통산 5회의 학사경고를 받은 경우 제적되며, 제적 후 재입학한 학생이 학사경고를 2회 받으면 재차 제적됩니다."
./data/hansung_data/school_information.txt,한성대학교의 수강신청 절차는 어떻게 되나요?,"한성대학교의 수강신청 절차는 종합정보시스템을 통해 이루어집니다. 수강신청 전에 장바구니 시스템을 이용하여 신청할 강의를 미리 담아둘 수 있으며, 신청 가능 최대 학점은 직전학기 평점에 따라 다르지만 기본적으로 18학점입니다."
./data/hansung_data/hansung_sang.txt,한성대학교의 전과부에서 주간과 야간 변동이 가능한 지원자격은 무엇인가요?,"교차전과부에서는 주간에서 야간 또는 야간에서 주간으로 변경이 가능하며, 지원자격은 4, 5학기 재학생으로 징계처분을 받은 사실이 없는 자이며, 2017학년도 신입생으로서 휴학한 사실이 없는 자는 5학기 또는 7학기 재학 중 지원 가능하며, 지원 당시 취득학점이 학기당 평균 15학점 이상이고 총 평균평점이 3.0 이상인 자입니다."
./data/hansung_data/hansung_sang.txt,복학 절차는 어떻게 진행되나요?,휴학기간이 만료되었을 경우에는 반드시 복학 또는 일반휴학 절차를 밟아야 하며 미복학시 제적됩니다. 종합정보시스템에서 복학신청을 통해 진행할 수 있습니다.
./data/hansung_data/hansung_sang.txt,한성대학교의 트랙제는 어떤 제도인가요?,"트랙제는 2017년부터 시행되고 있는 제도로, 학과 간 벽을 허물어 세분화한 독립된 교육과정을 갖춘 정원 제한 없는 학사 단위입니다. 1학년 때 자유롭게 전공과목을 수강하고 2학년 때 두 개의 전공을 선택할 수 있습니다. 제1트랙은 자신이 속한 학부 내에서 선택하고, 제2트랙은 모든 계열에서 자유롭게 선택할 수 있습니다."
./data/hansung_data/hansung_sang.txt,한성대학교에서 부전공을 이수할 경우 필요한 총 학점은 몇 학점인가요?,부전공을 이수할 경우 전공 99학점으로 총 151학점을 이수해야 합니다.
./data/hansung_data/hansung_sang.txt,한성대학교의 교가를 작사한 사람은 누구인가요?,한성대학교 교가는 정연길이 작사했습니다.
./data/hansung_data/hansung_sang.txt,비교과 포인트 제도에 대해 설명해주세요.,비교과 포인트 제도는 교과영역 외의 비교과 활동 참여 시 포인트를 지급받는 제도로 졸업 전까지 총 800포인트를 모아야 합니다. 4학년 2학기까지 채우지 못하면 졸업이 아닌 수료처리가 되어 포인트를 채우기 위해 학교를 다시 다녀야 합니다.
./data/hansung_data/hansung_sang.txt,"한성대학교의 상징물 중 ""거북""이 의미하는 바는 무엇인가요?","한성대학교의 상징물 중 하나인 거북은 슬기롭고 신령스러운 동물로써 대학의 교훈인 진리지선과 관련된 지혜와 영특성을 나타내며, 인간을 구원해준다는 성품으로 선을 나타냅니다."
./data/hansung_data/hansung_sang.txt,한성대학교의 교양교육과정 이수체계가 2024학년도부터 어떻게 개편되었나요?,"2024학년도부터 교양이수체계가 개편되어 교양필수 13학점, 선택필수교양 15학점, 일반교양 3학점 최소 31학점 이상을 이수해야 합니다."
./data/hansung_data/hansung_sang.txt,해외대학과의 학점교류 프로그램을 운영하는 국가들은 어디인가요?,"미국, 캐나다, 영국, 호주, 중국, 일본, 대만, 말레이시아 등지에 위치한 대학들과 학점교류 프로그램을 운영하고 있습니다."
./data/hansung_data/school_information.txt,한성대학교의 인재상은 어떻게 정의되나요?,"한성대학교의 인재상은 ""창의적 전문인, 포용적 사회인, 열린 세계인""으로 정의됩니다."
./data/hansung_data/school_information.txt,한성대학교의 상징물 중 하나인 거북이에 대해 설명해주세요.,"거북은 한성대학교의 상징물로, 예로부터 십장생의 하나로 일컬어졌으며 신령스러운 동물로 간주되어 왔습니다. 한성대학교는 거북이처럼 슬기롭고 유구한 발전을 추구하고 있으며 교훈인 진리와 지선을 나타냅니다. 탐구관 앞에는 거북상이 위치해 있습니다."
./data/hansung_data/school_information.txt,한성대학교의 삼학송은 무엇인가요?,"삼학송은 1920년부터 야생하던 세 그루의 소나무로, 한성대학교 설립자 우촌 김의형 박사가 키웠습니다. 1973년 대학 정문 옆에 옮겨져 삼학사의 절개를 상징하는 상징목으로 삼았습니다. 현재 탐구관 앞 돌거북상 옆으로 옮겨져 있습니다."
./data/hansung_data/school_information.txt,"한성대학교의 현재 교표는 언제 제작되었고, 어떤 의미를 가지고 있나요?","한성대학교의 현재 교표는 2007년 개교 35주년을 기념하여 제작되었으며, 역동적인 파란색으로 도약하는 한성인을 상징합니다. H자 이니셜과 화살표를 통해 도전과 열린 사고를 나타내며, 정보화 세계화 사회의 최고 인재 육성 의지를 담고 있습니다."
./data/hansung_data/school_information.txt,"한성대학교의 마스코트는 무엇이며, 언제부터 사용되었나요?","한성대학교의 마스코트는 ""상상부기""로, 상상력 거북이를 모티브로 한 캐릭터입니다. 2020년부터 사용되고 있으며, 다양한 기념품과 굿즈로 제작되어 학생들에게 많은 사랑을 받고 있습니다."
./data/hansung_data/school_information.txt,한성대학교의 슬로건 중 하나를 설명해주세요.,"한성대학교의 슬로건 중 하나는 ""한성이 만든 오늘, 세상이 만날 내일""입니다. 이 슬로건은 한성대학교가 현재를 넘어 미래를 이끌어가는 창의융합교육의 산실임을 강조하고 있습니다."
./data/hansung_data/school_information.txt,한성대학교가 시행하는 트랙제도에 대해 설명해주세요.,"한성대학교는 2017년부터 국내 최초 전면 트랙제도를 시행하고 있습니다. 1학년 때 다양한 트랙을 경험한 후, 2학년 때 두 개의 트랙을 선택해 전공합니다. 제1트랙은 본인이 속한 학부에서 선택해야 하지만, 제2트랙은 문과, 이과 및 예체능 관계없이 자유롭게 선택할 수 있습니다."
./data/hansung_data/school_information.txt,한성대학교의 교가는 누가 작사하고 작곡했나요?,"한성대학교의 교가는 정연길 작사, 이영조 작곡입니다. 교가의 전문은 북악과 낙산 언덕의 배움터를 노래하고 있으며 대학의 슬기와 이상을 상징합니다."
./data/hansung_data/school_information.txt,한성대학교의 각 단과대학 중 하나를 소개해주세요.,"한성대학교의 ""미래융합사회과학대학""은 사회과학부, 경제학부, 경영학부 등 여러 학부와 전공을 포함하고 있습니다. 학부별로 국제무역트랙, 글로벌비즈니스 트랙, 기업경영 트랙 등 다양한 세부 전공이 있습니다."
./data/hansung_data/hak_saK_information.txt,한성대학교의 설립자인 우촌 김의형은 어떤 역할을 했나요?,"우촌 김의형은 1945년에 경성여자기예학교를 인수하여 한성학원을 설립하고, 이후 한성고등여학교를 인가받는 등 대학 설립의 기초를 마련했습니다."
./data/hansung_data/hak_saK_information.txt,한성대학교가 1972년에 설립될 때 처음 개설된 학과는 무엇이었나요?,"한성대학교는 1972년에 국어국문학과, 영어영문학과, 비서학과, 가정학과, 의상학과, 생활미술학과의 6개 학과로 시작했습니다."
./data/hansung_data/hak_saK_information.txt,한성대학교가 종합대학교로 승격된 연도는 언제인가요?,한성대학교는 1993년 3월 1일에 정규 4년제 종합대학교로 정식 승격되었습니다.
./data/hansung_data/hak_saK_information.txt,한성대학교의 학사제도에서 '트랙제'란 무엇인가요?,"트랙제는 학과의 벽을 허물고 세분화된 독립적인 교육과정을 가진 정원 제한 없는 학사 단위를 의미하며, 1학년 때 자유롭게 전공 과목을 들어보고 2학년 때 두 개의 전공 트랙을 선택할 수 있습니다."
./data/hansung_data/hak_saK_information.txt,한성대학교에서 학사경고를 받을 조건은 어떻게 되나요?,학사경고는 학기 성적 평점평균이 1.75 미만인 경우나 휴학 없이 수강신청을 하지 않은 경우 부여됩니다.
./data/hansung_data/hak_saK_information.txt,한성대학교의 비교과 포인트 제도에 대해 설명해주세요.,"비교과 포인트 제도는 교과영역 외의 활동에 참여하면 포인트를 지급받는 시스템으로, 졸업 전까지 총 800포인트를 모아야 합니다. 한 학기에 최대 200포인트를 채울 수 있습니다."
./data/hansung_data/hak_saK_information.txt,한성대학교가 2016년에 완공한 주요 건물은 무엇인가요?,한성대학교는 2016년에 상상관을 완공했습니다.
./data/hansung_data/hak_saK_information.txt,한성대학교의 교양교육과정에서 '글로벌 시민의식 분야'는 무엇인가요?,글로벌 시민의식 분야 교과목은 글로벌 시민의식 과목군에 속하는 과목 중 하나를 이수하거나 사회봉사 과목을 두 학기 연달아 이수하는 방식 중 하나를 선택하면 됩니다.
./data/hansung_data/hak_saK_information.txt,한성대학교의 '교차전과부'에 지원할 수 있는 자격 요건은 무엇인가요?,"교차전과부는 주간에서 야간 또는 야간에서 주간으로 변경 가능하며, 4~5학기 재학생으로서 학기당 평균 15학점 이상을 취득하고 총 평균평점이 3.0 이상인 자가 지원할 수 있습니다."
./data/hansung_data/hubby.txt,한성대학교의 트랙제도는 어떤 방식으로 운영되나요?,"한성대학교는 2017년부터 국내 최초로 전면 트랙 제도를 시행하고 있습니다. 1학년 때 자유롭게 여러 트랙 전공을 들어보고, 2학년 때 2개의 트랙을 선택해 전공하게 됩니다. 제1트랙은 본인이 속한 학부에서 선택해야 하지만, 제2트랙은 문과, 이과, 예체능 상관없이 자유롭게 선택할 수 있으며, 선택한 이후에도 트랙을 변경하는 것이 가능합니다."
./data/hansung_data/hubby.txt,한성대학교의 IT공과대학 학부과 전공은 무엇이 있나요?,"한성대학교 IT공과대학의 학부과 전공으로는 모바일소프트웨어트랙, 빅데이터트랙, 디지털콘텐츠가상현실트랙, 웹공학트랙, 전자트랙, 시스템반도체트랙, 기계설계트랙, 기계자동화트랙, 산업공학트랙, 지능형제조시스템트랙, 스마트제조혁신컨설팅학과가 있습니다."
./data/hansung_data/hubby.txt,한성대학교에는 어떤 종류의 동아리가 있나요?,"한성대학교에는 공연예술분과, 종교분과, 학술분과, 체육분과, 평면예술분과, 취미봉사분과 등 다양한 분과의 중앙동아리가 있습니다. 또한 준동아리 소모임 학술회 등이 운영되고 있습니다."
./data/hansung_data/hubby.txt,한성대학교 미래플러스대학의 학부과 전공은 무엇이 있나요?,"한성대학교 미래플러스대학의 학부과 전공으로는 융합행정학과, 호텔외식경영학과, 뷰티디자인학과, 비즈니스컨설팅학과, ICT융합디자인학과, 미래인재학부가 있습니다."
./data/hansung_data/hubby.txt,한성대학교의 동아리 연합회는 어떤 역할을 하나요?,"한성대학교 동아리연합회는 동아리 활동에 관한 제반 업무를 담당하여 동아리 상호간의 연대 활동을 도모하고, 각 동아리의 권익과 발전을 위해 자율적이고 독자적인 활동을 합니다. 동아리연합회장은 동아리연합을 대표하여 총학생회의 운영위원으로 참여하고 있습니다."
./data/hansung_data/hubby.txt,한성대학교 디자인대학에는 어떤 전공이 있나요?,"한성대학교 디자인대학에는 글로벌패션산업학부의 패션디자인트랙, 패션마케팅트랙, 패션크리에이티브디렉션트랙, ICT디자인학부의 뉴미디어광고커뮤니케이션디자인트랙, 영상애니메이션디자인트랙, UXUI디자인트랙, 브랜드패키지디자인트랙, 인테리어디자인트랙, VMD전시디자인트랙, 게임그래픽디자인트랙, 뷰티디자인매니지먼트학과, 뷰티매니지먼트학과 등이 있습니다."
./data/hansung_data/hubby.txt,한성대학교에는 어떤 주요 행사가 있나요?,"한성대학교는 2월 새터에서 동아리 홍보 및 공연, 3월 동아리한마당에서 동아리 홍보 및 공연, LT에서 동아리 회장과 동연의 LT, 5월 대동제에서 댄스 페스티발, 7월 농활, 10월 웅비제 가요제, 영화제, 체육대회 등의 주요 행사를 진행합니다."
./data/hansung_data/hubby.txt,한성대학교는 어떤 영역에서 트랙 전공을 자유롭게 선택할 수 있나요?,"한성대학교는 제2트랙을 선택할 때 문과, 이과, 예체능 상관없이 자유롭게 선택할 수 있습니다. 선택한 이후에도 원한다면 다시 트랙을 변경하는 것이 가능합니다."
./data/hansung_data/hubby.txt,한성대학교의 크리에이티브인문예술대학에는 어떤 학부과 전공이 있나요?,"한성대학교 크리에이티브인문예술대학에는 크리에이티브인문학부의 영미문화콘텐츠트랙, 영미언어정보트랙, 한국어교육트랙, 역사문화큐레이션트랙, 역사콘텐츠트랙, 지식정보문화트랙, 디지털인문정보학트랙과 예술학부의 동양화전공, 서양화전공, 한국무용전공, 현대무용전공, 발레전공이 있습니다."
./data/hansung_data/student_information.txt,한성대학교의 설립자는 누구인가요?,한성대학교의 설립자는 우촌 김의형입니다.
./data/hansung_data/student_information.txt,한성대학교의 개교기념일은 언제인가요?,한성대학교의 개교기념일은 한성학원 설립일인 10월 5일입니다.
./data/hansung_data/student_information.txt,한성대학교는 언제 종합대학교로 승격되었나요?,한성대학교는 1993년 3월 1일에 정규 4년제 종합대학교로 승격되었습니다.
./data/hansung_data/student_information.txt,한성대학교의 캠퍼스 이전은 언제 이루어졌나요?,한성대학교의 캠퍼스 이전은 1986년에 이루어졌습니다.
./data/hansung_data/student_information.txt,한성대학교의 첫 신입생 모집은 언제 시작되었나요?,"한성대학교는 1972년 설립된 이후, 1973년에 첫 신입생 모집을 시작했습니다."
./data/hansung_data/student_information.txt,한성대학교에서는 어떤 전공 트랙제가 도입되었나요?,한성대학교는 2017년부터 전공 트랙제를 도입하여 운영하고 있습니다.
./data/hansung_data/student_information.txt,한성대학교 상상관 1층에는 어떤 시설이 운영되고 있나요?,한성대학교 상상관 1층에는 한성 아키비움이라는 역사관이 운영되고 있습니다.
./data/hansung_data/student_information.txt,한성대학교의 교내 헬스장 위치는 어디인가요?,한성대학교의 교내 헬스장은 낙산관 4층과 상상빌리지 지하 2층에 위치하고 있습니다.
./data/hansung_data/student_information.txt,한성대학교의 대동제는 언제 열리나요?,한성대학교의 대동제는 매년 봄 또는 가을에 열립니다.
./data/hansung_data/student_information.txt,한성대학교의 인재상에 대해 설명해 주세요.,"한성대학교의 인재상은 창의적 전문인, 포용적 사회인, 열린 세계인으로 구성되어 있습니다."
./data/hansung_data/student_information.txt,한성대학교의 상징물 중 거북이의 의미는 무엇인가요?,"거북은 예로부터 신령스러운 동물로, 한성대학교에서는 거북이처럼 슬기롭고 발전을 추구하는 의미를 지니며, 교훈인 ""진리와 지선""과 상징적 관계를 맺고 있습니다."
./data/hansung_data/student_information.txt,한성대학교의 현재 교표 디자인은 언제 제작되었나요?,"한성대학교의 현재 교표 디자인은 2007년 개교 35주년을 기념하여 제작되었으며, 도전하는 프론티어 정신과 열린 사고를 상징합니다."
./data/hansung_data/student_information.txt,한성대학교의 마스코트 '상상부기'는 언제부터 사용되었나요?,"한성대학교의 마스코트 '상상부기'는 2020년부터 사용되었으며, 거북이에서 모티브를 얻은 캐릭터입니다."
./data/hansung_data/student_information.txt,한성대학교의 주요 슬로건들에 대해 알려주세요.,"한성대학교의 주요 슬로건들은 ""한성이 만든 오늘, 세상이 만날 내일"", ""미래를 이끌어갈 창의융합교육의 산실"", ""오고 싶은 한성대, 머물고 싶은 한성대""입니다."
./data/hansung_data/student_information.txt,한성대학교의 학생증과 관련된 특징은 무엇인가요?,"한성대학교의 학생증은 체크카드 기능과 별도로 나뉘어 있으며, 실물 학생증은 거의 사용되지 않고, 모바일 학생증을 주로 사용합니다."
./data/hansung_data/student_information.txt,한성대학교의 체력단련실 위치와 운영시간은 어떻게 되나요?,"한성대학교의 체력단련실은 낙산관 4층과 상상빌리지 지하2층에 위치해 있으며, 학기 중에는 각각 07:00~22:00, 24시간 운영됩니다."
./data/hansung_data/student_information.txt,한성대학교의 전략적 교과 운영 방식인 트랙제에 대해 설명해 주세요.,"한성대학교는 트랙제를 도입하여 학생들이 학과 대신 세분화된 선택 단위를 통해 학습하며, 각 학부의 전통적인 학과 구분은 없지만, 트랙 내에서 세분화된 전공을 자유롭게 선택하고 변경할 수 있습니다."
./data/hansung_data/student_information.txt,한성대학교의 학술정보관 운영 시간은 어떻게 되나요?,"한성대학교 학술정보관의 창의열람실과 집중열람실은 학기 중 06:30부터 23:00까지 운영되며, 시험기간에는 24시간 운영됩니다."
./data/hansung_data/history.txt,한성대학교 동아리연합회의 역할은 무엇인가요?,"한성대학교 동아리연합회는 동아리 상호간 연대활동을 도모하고, 각 동아리의 권익과 발전을 위해 자율적이고 독자적인 활동을 담당하는 역할을 합니다. 또한 동아리연합회장은 동아리연합을 대표하여 총학생회의 운영위원으로 참여합니다."
./data/hansung_data/history.txt,한성대학교의 중앙동아리에는 어떤 분과가 있나요?,"한성대학교 중앙동아리에는 공연예술분과, 종교분과, 학술분과, 체육분과, 평면예술분과, 취미봉사분과 등이 있습니다."
./data/hansung_data/history.txt,한성대학교의 동아리 주요행사는 어떤 것들이 있나요?,"한성대학교 동아리 주요행사로는 2월 새터, 3월 동아리한마당, 5월 대동제, 7월 농활, 10월 웅비제 등이 있습니다."
./data/hansung_data/history.txt,한성대학교의 설립자는 누구인가요?,한성대학교의 설립자는 우촌 김의형입니다.
./data/hansung_data/history.txt,한성대학교의 연혁에서 1972년에 있었던 중요한 사건은 무엇인가요?,"1972년에 한성여자대학이 설립되었습니다. 이 대학은 4년제 야간 단과대학으로 시작되었고, 국어국문학과, 영어영문학과, 비서학과, 가정학과, 의상학과, 생활미술학과의 6개 학과를 개설했습니다."
./data/hansung_data/history.txt,한성대학교가 정규 4년제 종합대학교로 승격된 해는 언제인가요?,"한성대학교가 정규 4년제 종합대학교로 승격된 해는 1993년입니다. 그에 따라 교명이 한성대학교로 변경되었고, 4개의 단과대학이 설립되었습니다."
./data/hansung_data/history.txt,1994년 한성대학교의 인지도가 크게 높아진 이유는 무엇인가요?,1994년 한성대학교의 인지도가 크게 높아진 이유는 수능제도와 함께 본고사 제도가 부활되었기 때문입니다. 당시 본고사를 치르는 대학 중에 한성대학교가 포함되어 상위권 대학들과 함께 많이 언급되었기 때문에 인지도가 급상승했습니다.
./data/hansung_data/history.txt,한성대학교는 2016년 8월 대학평가에서 어떤 성과를 얻었나요?,한성대학교는 2016년 8월 대학구조개혁평가에서 A등급을 받아 정부재정지원제한 완전해제 판정을 받았습니다.
./data/hansung_data/history.txt,한성대학교의 주요 건물 이름을 몇 가지 설명해주세요.,"한성대학교의 주요 건물로는 우촌관, 창의관, 공학관, 탐구관, 인성관, 미래관, 낙산관 등이 있으며, 2016년에는 상상관이 완공되었습니다."
./data/hansung_data/hak_saK_information.txt,한성대학교 eclass는 어떤 용도로 사용되나요?,"eclass는 각 수업의 강의자료나 강의영상 등이 올라오는 사이트로, 과제안내 및 과제제출도 이곳에서 이루어집니다. 모바일에서는 코스모스 어플을 다운받으면 eclass와 연동됩니다."
./data/hansung_data/hak_saK_information.txt,한성대학교의 학사 경고 제도에 대해 설명해 주세요.,한 학기 성적 평점평균이 1.75 미만인 경우나 휴학 없이 수강신청을 하지 않은 경우 학사경고가 부여됩니다. 연속 3회 혹은 통산 5회의 학사경고를 받은 경우 학사경고 제적됩니다.
./data/hansung_data/hak_saK_information.txt,트랙제란 무엇인가요?,"트랙제는 학과 간 벽을 허물어 세분화한 독립된 교육과정을 갖춘 정원 제한 없는 학사 단위를 의미합니다. 1학년 때 자유롭게 전공과목을 들어보고 2학년 때 두 개의 전공을 선택할 수 있으며, 제1트랙은 학부 내에서, 제2트랙은 모든 계열에서 자유롭게 선택할 수 있습니다."
